行業別,上月底現有家數,上月底現有資本額,新設立家數,新設立資本額,歇業家數,歇業資本額,增資家數,增資資本額,減資家數,減資資本額,遷入家數,遷入資本額,遷出家數,遷出資本額,行業變動家數,行業變動資本額,異動調整家數,異動調整資本額,本月底現有家數,本月底現有資本額,year,month
住宿及餐飲業,107548,14452874,989,126864,710,99959,42,36451,0,0,17,3532,16,2792,-10,-259,3,-648,107821,14516063,2025,9
出版影音及資通訊業,6994,1853864,56,6131,32,6393,1,150,0,0,3,1500,2,1300,1,100,-1,-450,7019,1853602,2025,9
金融及保險業,3263,4734653,19,2911,8,1220,1,3910,0,0,3,2200,3,2200,1,190,1,30,3276,4740474,2025,9
不動產業,4497,1128048,20,3040,19,5650,1,180,0,0,0,0,0,0,1,168,0,0,4499,1125786,2025,9
專業、科學及技術服務業,21113,4620165,147,24186,104,18909,5,8277,0,0,11,2000,12,2200,-1,-3540,-1,-2290,21153,4627689,2025,9
支援服務業,30303,7460193,165,26694,118,17106,9,10389,0,0,10,6216,12,6446,-3,-2650,2,650,30347,7477940,2025,9
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,9
教育業,2681,381800,45,6130,23,3364,0,0,0,0,2,60,1,50,1,150,0,0,2705,384726,2025,9
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,9
藝術、娛樂及休閒服務業,25573,3407630,99,15155,94,11680,9,12642,0,0,5,1700,6,1800,-3,-10337,-1,-50,25573,3413261,2025,9
其他服務業,73641,7134032,440,51107,203,22773,15,4745,1,140,8,1120,6,820,5,11032,-3,-471,73882,7177833,2025,9
總計,993200,205252293,4856,739933,3708,684996,330,335190,23,26720,205,51225,202,48038,0,0,4,1724,994355,205620611,2025,8
農、林、漁、牧業,11980,3875349,52,9912,30,11639,4,2800,0,0,2,1820,2,1820,2,360,1,200,12005,3876982,2025,8
礦業及土石採取業,1989,1172642,10,4000,2,3200,0,0,0,0,1,5000,1,5000,0,0,0,0,1997,1173442,2025,8
製造業,55128,15403547,146,27668,136,23388,20,16743,1,8000,6,1180,6,1180,-4,-2367,-2,-275,55132,15413928,2025,8
電力及燃氣供應業,1029,547525,4,1200,5,1640,1,7000,0,0,0,0,0,0,0,0,0,0,1028,554085,2025,8
用水供應及污染整治業,4032,1923406,17,2978,15,5049,4,19310,0,0,1,200,1,200,1,200,0,0,4035,1940845,2025,8
營建工程業,102494,45155047,662,140338,288,93502,73,80670,2,7100,32,7311,32,6591,4,7944,3,248,102875,45284366,2025,8
批發及零售業,515794,86121577,1963,298857,1963,357304,144,150232,10,5807,115,28606,107,25149,-9,-8693,1,1121,515794,86203440,2025,8
運輸及倉儲業,25874,6005309,23,3851,24,13666,0,0,0,0,1,200,1,200,4,4800,-1,-30,25876,6000264,2025,8
住宿及餐飲業,107183,14388590,1018,131658,653,93758,34,28148,4,561,15,2590,17,3130,1,-1093,1,430,107548,14452874,2025,8
出版影音及資通訊業,6974,1857079,54,6353,33,10050,3,682,0,0,3,450,3,450,-1,-200,0,0,6994,1853864,2025,8
金融及保險業,3266,4733322,7,2310,12,1059,0,0,0,0,3,450,2,400,-1,-2000,2,2030,3263,4734653,2025,8
不動產業,4495,1126552,19,5108,18,4515,2,900,0,0,3,648,3,648,1,3,0,0,4497,1128048,2025,8
專業、科學及技術服務業,21058,4608051,125,17071,68,12600,11,9790,0,0,9,1330,9,1330,-1,-147,-1,-2000,21113,4620165,2025,8
支援服務業,30244,7446750,175,23695,114,15610,13,8411,2,3002,6,760,9,1110,1,300,0,0,30303,7460193,2025,8
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,8
教育業,2638,379735,55,6960,14,3225,1,160,1,1980,1,100,1,100,2,150,0,0,2681,381800,2025,8
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,8
藝術、娛樂及休閒服務業,25585,3394998,96,11096,105,11172,4,2163,0,0,1,100,1,100,-3,10545,0,0,25573,3407630,2025,8
其他服務業,73437,7112814,430,46879,228,23619,16,8180,3,270,6,480,7,630,3,-9802,0,0,73641,7134032,2025,8
總計,992096,204758236,5247,813906,4144,737469,374,436296,21,27376,235,82617,237,80257,0,0,3,6341,993200,205252293,2025,7
農、林、漁、牧業,11934,3833274,68,26150,29,9563,11,20000,0,0,4,1490,3,1190,6,5088,0,100,11980,3875349,2025,7
礦業及土石採取業,1983,1175977,8,1545,2,350,2,4970,1,9500,0,0,0,0,0,0,0,0,1989,1172642,2025,7
製造業,55130,15393690,160,26106,163,38331,14,26294,1,4500,8,1839,7,1789,2,585,-2,-347,55128,15403547,2025,7
電力及燃氣供應業,1028,548325,7,1200,6,4300,0,0,0,0,0,0,0,0,0,2300,0,0,1029,547525,2025,7
用水供應及污染整治業,4034,1911188,17,4984,18,3338,3,7952,0,0,1,200,1,200,-1,1670,0,950,4032,1923406,2025,7
營建工程業,102125,44978466,716,156612,357,97050,66,112830,1,1500,45,25688,45,25518,7,942,3,4578,102494,45155047,2025,7
批發及零售業,515844,85985153,2081,311088,2119,350944,180,183967,8,3407,111,28398,115,29810,-8,-3111,0,244,515794,86121577,2025,7
運輸及倉儲業,25867,6008030,22,4339,17,2490,0,0,0,0,2,220,2,220,2,-4570,0,0,25874,6005309,2025,7
住宿及餐飲業,106844,14314190,1101,142483,757,111411,44,42574,3,442,22,10356,21,7956,-8,-2073,2,869,107183,14388590,2025,7
出版影音及資通訊業,6938,1859101,65,8433,31,6155,2,200,0,0,4,800,4,800,2,-4500,0,0,6974,1857079,2025,7
金融及保險業,3249,4733274,24,3418,6,1870,0,0,0,0,0,0,0,0,0,0,-1,-1500,3266,4733322,2025,7
不動產業,4507,1137214,21,3220,33,16662,2,2780,0,0,0,0,0,0,0,0,0,0,4495,1126552,2025,7
專業、科學及技術服務業,21041,4598961,140,19901,118,21090,14,9835,0,0,16,4530,17,4730,-4,-800,0,1445,21058,4608051,2025,7
支援服務業,30195,7445510,189,28841,144,36142,16,10734,1,6700,6,1100,5,748,2,4220,1,-65,30244,7446750,2025,7
公共行政及國防；強制性社會安全,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,7
教育業,2594,374478,57,7200,13,2043,1,150,0,0,8,1350,9,1550,2,300,-1,-150,2638,379735,2025,7
醫療保健及社會服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,7
藝術、娛樂及休閒服務業,25570,3383849,125,15939,105,11887,6,7157,1,20,2,5050,2,5050,-5,-40,0,0,25585,3394998,2025,7
其他服務業,73213,7077557,446,52449,226,23844,13,6853,5,1307,6,1597,6,697,3,-11,1,217,73437,7112814,2025,7
總計,990980,204348221,5031,778156,3917,721861,338,383179,22,31781,244,81858,243,80328,0,0,1,790,992096,204758236,2025,6
農、林、漁、牧業,11891,3823786,68,11517,26,2855,2,790,0,0,2,210,1,200,0,26,0,0,11934,3833274,2025,6
礦業及土石採取業,1983,1172360,8,1575,7,1928,1,4000,0,0,0,0,0,0,-1,-30,0,0,1983,1175977,2025,6
製造業,55130,15383011,155,26915,156,31943,17,16486,4,5160,6,10940,5,10700,1,4179,-1,-38,55130,15393690,2025,6
電力及燃氣供應業,1019,546845,12,1980,3,500,0,0,0,0,3,600,3,600,0,0,0,0,1028,548325,2025,6
