station_id,station_name,catchment_method,poi_name,retail_category,amenity,shop,tourism,office,leisure
gongguan,Gongguan,circular_center_500m,台南小吃,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,James Joyce Irish Bar,food,bar,,,,
gongguan,Gongguan,circular_center_500m,DIGILOG,services,,,,company,
gongguan,Gongguan,circular_center_500m,大福利排骨大王,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,如來素食樂園,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,峨嵋川菜,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,店長米粉湯,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,ABC Mart,apparel/fashion,,shoes,,,
gongguan,Gongguan,circular_center_500m,戀茶荳,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,成記滷味專賣店,other,,deli,,,
gongguan,Gongguan,circular_center_500m,金豪家台式自助餐,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,炸雞大獅,other,,deli,,,
gongguan,Gongguan,circular_center_500m,炸手指,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,模範眼鏡,health,,optician,,,
gongguan,Gongguan,circular_center_500m,Davie Hair Salon,services,,hairdresser,,,
gongguan,Gongguan,circular_center_500m,湛盧咖啡,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,麥魚鯛魚燒,other,,deli,,,
gongguan,Gongguan,circular_center_500m,聯邦商業銀行,services,bank,,,,
gongguan,Gongguan,circular_center_500m,胡思二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,胡椒餅,other,,deli,,,
gongguan,Gongguan,circular_center_500m,漂流,cafe,cafe,,,,
gongguan,Gongguan,circular_center_500m,小螺波,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,費斯達香草洋食館,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,金吉利寵物精品,other,,pet,,,
gongguan,Gongguan,circular_center_500m,金牛座平價牛排,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,MK Halal Food,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,池記燒臘茶餐廳,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,站食可以,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,魚玄機私家菜,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,第一商業銀行,services,bank,,,,
gongguan,Gongguan,circular_center_500m,Green & Safe,other,,greengrocer,,,
gongguan,Gongguan,circular_center_500m,靜壽司,food,restaurant,,,,
gongguan,Gongguan,circular_center_500m,樂法,other,,beverages,,,
gongguan,Gongguan,circular_center_500m,雅舍二手書店,lifestyle/design,,books,,,
gongguan,Gongguan,circular_center_500m,拉亞漢堡,food,fast_food,,,,
gongguan,Gongguan,circular_center_500m,Top頂點生活用品,other,,variety_store,,,
gongguan,Gongguan,circular_center_500m,e Coffee,cafe,cafe,,,,
